Date,Open,High,Low,Close,Volume,Adj Close
24/06/2008,5411,5422.799805,5373.600098,5418.799805,1151886700,5418.799805
25/06/2008,5397.799805,5410.200195,5342.100098,5363.100098,1217032300,5363.100098
26/06/2008,5369.100098,5451.399902,5368.5,5421.5,1362231900,5421.5
27/06/2008,5379.200195,5379.200195,5266.299805,5349.399902,1437729400,5349.399902
30/06/2008,5364.200195,5416.100098,5328.399902,5332.899902,1353210000,5332.899902
1/07/2008,5345.799805,5351.399902,5261.100098,5261.100098,891126200,5261.100098
2/07/2008,5246.899902,5247.399902,5187.399902,5211.600098,1079069400,5211.600098
3/07/2008,5170,5170,5069.399902,5094,1059779000,5094
4/07/2008,5100.100098,5170,5100.100098,5170,874620900,5170
7/07/2008,5159,5161.200195,5066.700195,5091.700195,723789000,5091.700195
8/07/2008,5092.100098,5115,5020.899902,5022.399902,941417900,5022.399902
9/07/2008,5039.200195,5114.5,5039.200195,5089.399902,1031895100,5089.399902
10/07/2008,5065.399902,5067,4999,5020.5,998042200,5020.5
11/07/2008,5036.299805,5074.100098,5023.700195,5067.799805,859108800,5067.799805
14/07/2008,5059,5059,4995.399902,5007.899902,798553600,5007.899902
15/07/2008,5005.5,5005.5,4889.600098,4910.100098,950175400,4910.100098
16/07/2008,4891.200195,4961.200195,4880,4947.5,1107716800,4947.5
17/07/2008,4949.299805,5003.200195,4941.899902,4977.399902,966700200,4977.399902
18/07/2008,4977.5,4983.600098,4901.899902,4915.299805,863446000,4915.299805
21/07/2008,4937.100098,5075.399902,4932.799805,5075.399902,943928400,5075.399902
22/07/2008,5072.399902,5077.700195,5022.600098,5075.899902,900389300,5075.899902
23/07/2008,5083.799805,5209.600098,5075.600098,5161.600098,1095843600,5161.600098
24/07/2008,5155.5,5201.600098,5148.399902,5188.399902,967457400,5188.399902
25/07/2008,5190.5,5190.5,5003.200195,5028.899902,994519000,5028.899902
28/07/2008,5020.5,5032.200195,4957.5,4989.899902,794836500,4989.899902
29/07/2008,4981.100098,4984.200195,4896.200195,4923.299805,789793900,4923.299805
30/07/2008,4942.899902,5025,4930.600098,5008.700195,727609200,5008.700195
31/07/2008,5028.399902,5083.200195,5027.799805,5052.600098,1048406000,5052.600098
1/08/2008,5047.399902,5047.399902,4947.200195,4978,718362100,4978
4/08/2008,4960.600098,5006.299805,4955.899902,4957.600098,582928400,4957.600098
5/08/2008,4925,5235.799805,4829.200195,4882,1056463400,4882
6/08/2008,4905.299805,5028.5,4905.299805,5018.100098,1070554600,5018.100098
7/08/2008,5025.899902,5055,4991.5,5030,1015975000,5030
8/08/2008,5017.200195,5040.899902,4964.799805,5037.600098,903996500,5037.600098
11/08/2008,5044.100098,5096.200195,5043.299805,5069.299805,764312400,5069.299805
12/08/2008,5064.899902,5106.200195,5049.600098,5090.299805,908849600,5090.299805
13/08/2008,5073.200195,5074,4973.299805,4995.899902,884336800,4995.899902
14/08/2008,5014.5,5111.200195,5012.399902,5039,1067225200,5039
15/08/2008,5032.100098,5054.899902,5009.700195,5038.899902,841307900,5038.899902
18/08/2008,5036.299805,5087.799805,4994,5043.5,685297500,5043.5
19/08/2008,5024.700195,5025.299805,4930.399902,4930.399902,854405400,4930.399902
20/08/2008,4940.700195,4997.5,4938.5,4997.5,994588400,4997.5
21/08/2008,5009.799805,5010.200195,4944.399902,4949.600098,1054745500,4949.600098
22/08/2008,4965,5015,4963.700195,5010.200195,1132087500,5010.200195
25/08/2008,5019.700195,5109.700195,5017.299805,5090.100098,854813700,5090.100098
26/08/2008,5090.200195,5090.200195,4975.600098,5082.299805,808286200,5082.299805
27/08/2008,5087,5111.899902,5048.299805,5087.799805,887525500,5087.799805
28/08/2008,5097.399902,5162.100098,5096.899902,5143.299805,1011382200,5143.299805
29/08/2008,5151,5220,5146.5,5215.5,1131386900,5215.5
1/09/2008,5209.200195,5210.299805,5176,5200,719767200,5200
2/09/2008,5182.200195,5250.399902,5182.200195,5195,915473000,5195
3/09/2008,5184,5213.700195,5108.299805,5130.5,1024980900,5130.5
4/09/2008,5122.899902,5150.100098,5024.5,5050.899902,1003243200,5050.899902
5/09/2008,5022.100098,5022.100098,4909.600098,4949.5,1025675800,4949.5
8/09/2008,4950.200195,5140.600098,4949.5,5126.299805,947248100,5126.299805
9/09/2008,5112,5112.200195,5028.700195,5041.899902,1012679400,5041.899902
10/09/2008,4997,4997,4912.100098,4961.399902,1012655400,4961.399902
11/09/2008,4970.5,4972,4871.399902,4871.5,1023059700,4871.5
12/09/2008,4889.200195,4957.100098,4887.399902,4957.100098,914669900,4957.100098
15/09/2008,4957.200195,4957.5,4832.5,4875,840800300,4875
16/09/2008,4839,4841.5,4739.299805,4799.899902,1363192600,4799.899902
17/09/2008,4807.799805,4864.299805,4749.399902,4769.700195,1460457100,4769.700195
18/09/2008,4722.100098,4722.899902,4575.200195,4651.899902,2124556600,4651.899902
19/09/2008,4679.100098,4856.600098,4679.100098,4840.700195,1939806800,4840.700195
22/09/2008,4945.100098,5050.100098,4938.799805,5050.100098,1338777000,5050.100098
23/09/2008,5021.299805,5021.299805,4920.399902,4957.700195,782722100,4957.700195
24/09/2008,4952.5,5015,4947.700195,5008.200195,1028344600,5008.200195
25/09/2008,4984.399902,5010.100098,4956.600098,4960.799805,1011194700,4960.799805
26/09/2008,4968.399902,5019.299805,4874,4934.600098,983464400,4934.600098
29/09/2008,4935,4981.799805,4815.299805,4839.200195,730177600,4839.200195
30/09/2008,4757.200195,4757.399902,4569.100098,4631.299805,1002389200,4631.299805
1/10/2008,4662.399902,4814.5,4662.399902,4814.5,672365200,4814.5
2/10/2008,4815.700195,4843.5,4771.399902,4774.100098,735419500,4774.100098
3/10/2008,4735.799805,4735.899902,4646.200195,4702.799805,793823100,4702.799805
6/10/2008,4697.799805,4697.799805,4525.700195,4544.700195,436237300,4544.700195
7/10/2008,4511.899902,4625.899902,4395.100098,4597.899902,993142100,4597.899902
8/10/2008,4549,4549.299805,4364,4369.799805,893087100,4369.799805
9/10/2008,4372.100098,4374.399902,4249,4291.299805,1203339500,4291.299805
10/10/2008,4249.899902,4249.899902,3939.399902,3939.5,1341044000,3939.5
13/10/2008,3965.800049,4167.899902,3965.800049,4141.899902,1147647400,4141.899902
14/10/2008,4202.399902,4403.700195,4202.100098,4311.5,1324061000,4311.5
15/10/2008,4306.600098,4308,4242.299805,4272.5,970182400,4272.5
16/10/2008,4206.600098,4206.600098,3973.199951,3988.100098,1008535000,3988.100098
17/10/2008,4011,4121.5,3936.600098,3944.800049,1059415100,3944.800049
20/10/2008,3964.100098,4098.700195,3964.100098,4098.700195,1216841300,4098.700195
21/10/2008,4135.100098,4251.399902,4134.299805,4251.399902,979746400,4251.399902
22/10/2008,4223.299805,4223.299805,4120,4120.100098,867168000,4120.100098
23/10/2008,4061.100098,4061.100098,3937.300049,3939.300049,926910100,3939.300049
24/10/2008,3936.399902,3988.899902,3799.5,3831.600098,841203300,3831.600098
27/10/2008,3835.199951,3835.199951,3725.600098,3768.300049,871458500,3768.300049
28/10/2008,3761.100098,3764,3693.899902,3755.399902,1077619300,3755.399902
29/10/2008,3793.300049,3931.300049,3783.300049,3805.800049,1345085600,3805.800049
30/10/2008,3826.699951,3975.800049,3825.699951,3957.300049,1273942600,3957.300049
31/10/2008,3950.699951,3982.699951,3902.800049,3982.699951,1315467000,3982.699951
3/11/2008,4003,4173,3982.699951,4173,972730200,4173
4/11/2008,4153.600098,4180.600098,4095.100098,4169.799805,694734500,4169.799805
5/11/2008,4203,4291.899902,4200.299805,4287.299805,1388624300,4287.299805
6/11/2008,4239.700195,4240.899902,4102.5,4106.5,975560000,4106.5
7/11/2008,4063.5,4064.300049,3928.600098,4006.600098,869728600,4006.600098
10/11/2008,4020.5,4111.100098,4020.5,4060,920906100,4060
11/11/2008,4041.899902,4043.300049,3889.899902,3921.800049,1001859200,3921.800049
12/11/2008,3907.300049,3920.5,3856.600098,3883.600098,1005444200,3883.600098
13/11/2008,3840.100098,3840.100098,3672.399902,3672.399902,1093761300,3672.399902
14/11/2008,3713.600098,3824.5,3713.600098,3726,857115900,3726
17/11/2008,3709.100098,3709.699951,3608.199951,3639.5,767729100,3639.5
18/11/2008,3624.399902,3645.600098,3500.800049,3513.100098,924813400,3513.100098
19/11/2008,3526.899902,3556.600098,3430.199951,3483.199951,1191153800,3483.199951
20/11/2008,3451.600098,3451.600098,3328.399902,3332.600098,1227997200,3332.600098
21/11/2008,3308,3386.899902,3201.5,3386.899902,1380640700,3386.899902
24/11/2008,3397.800049,3414.699951,3337.100098,3388.800049,941694700,3388.800049
25/11/2008,3433.800049,3575.399902,3432.800049,3575.399902,1294310500,3575.399902
26/11/2008,3570.199951,3570.199951,3478.300049,3479.600098,947384200,3479.600098
27/11/2008,3526.199951,3590.800049,3518.699951,3528.199951,1001289700,3528.199951
28/11/2008,3542.399902,3672.800049,3542.399902,3672.699951,1144487100,3672.699951
1/12/2008,3669.800049,3670.300049,3588.199951,3619,821107300,3619
2/12/2008,3576.199951,3576.199951,3473.399902,3473.399902,894325700,3473.399902
3/12/2008,3496.300049,3559.399902,3444,3476.5,786861800,3476.5
4/12/2008,3493.399902,3544.5,3458.699951,3468.100098,907507600,3468.100098
5/12/2008,3449.199951,3490.300049,3424.399902,3427.199951,821059500,3427.199951
8/12/2008,3441.800049,3568.300049,3441,3553.800049,901316300,3553.800049
9/12/2008,3575,3576.399902,3495.199951,3533.699951,925279800,3533.699951
10/12/2008,3537.5,3583.899902,3491.899902,3573.300049,916221900,3573.300049
11/12/2008,3590.399902,3602,3492.699951,3534.199951,911336300,3534.199951
12/12/2008,3524.300049,3524.300049,3418.699951,3452.5,858306700,3452.5
15/12/2008,3474.399902,3599,3474.100098,3535.699951,1000419400,3535.699951
16/12/2008,3533.399902,3533.399902,3455.899902,3498.899902,1093167800,3498.899902
17/12/2008,3512.800049,3573.5,3496.300049,3515,1101142500,3515
18/12/2008,3521.199951,3521.699951,3466.100098,3521.699951,2214856400,3521.699951
19/12/2008,3500.300049,3553.199951,3455.600098,3547.199951,1829827400,3547.199951
22/12/2008,3550.899902,3555.600098,3488.800049,3492.300049,680905300,3492.300049
23/12/2008,3486.800049,3507.199951,3435.5,3468.199951,685914400,3468.199951
24/12/2008,3470.600098,3530,3465.899902,3515,423475700,3515
26/12/2008,3515,3515,3515,3515,0,3515
29/12/2008,3526.5,3586.5,3511.100098,3554.199951,569020900,3554.199951
30/12/2008,3557.100098,3605.5,3533.800049,3591.399902,473556900,3591.399902
31/12/2008,3602.300049,3666.100098,3602.300049,3659.300049,428290500,3659.300049
2/01/2009,3660.800049,3704.100098,3621.5,3655.699951,542029100,3655.699951
5/01/2009,3680.100098,3709.600098,3623.199951,3638.899902,1039857900,3638.899902
6/01/2009,3643.100098,3706.399902,3643.100098,3689.199951,1023273500,3689.199951
7/01/2009,3712.300049,3762.5,3710.600098,3728.199951,1283558500,3728.199951
8/01/2009,3699.399902,3699.800049,3614.800049,3643.600098,940493900,3643.600098
9/01/2009,3654.100098,3686.600098,3644,3680.399902,796894500,3680.399902
12/01/2009,3668.600098,3668.600098,3603.100098,3624,721963200,3624
13/01/2009,3608.600098,3608.600098,3555.600098,3593.899902,706590900,3593.899902
14/01/2009,3602.100098,3627.899902,3581.199951,3624.300049,726901100,3624.300049
15/01/2009,3590.600098,3591.800049,3463.199951,3476.800049,767706000,3476.800049
16/01/2009,3494.100098,3519.199951,3487.300049,3494.899902,716530400,3494.899902
19/01/2009,3500.300049,3542.600098,3500.300049,3531,552664000,3531
20/01/2009,3508.899902,3508.899902,3393.899902,3425,699748100,3425
21/01/2009,3410.5,3410.800049,3363.600098,3394.800049,778802300,3394.800049
22/01/2009,3407.100098,3439.600098,3397.899902,3431.899902,707265300,3431.899902
23/01/2009,3418.600098,3418.800049,3300.199951,3300.300049,924189100,3300.300049
27/01/2009,3328.600098,3393.800049,3327,3392.300049,758879600,3392.300049
28/01/2009,3398.399902,3444.899902,3365.600098,3435.100098,805770800,3435.100098
29/01/2009,3460.600098,3496.5,3442.899902,3461.300049,981432700,3461.300049
30/01/2009,3450.300049,3484.800049,3410.399902,3478.100098,1013285000,3478.100098
2/02/2009,3460,3467.199951,3426.899902,3443.5,707520900,3443.5
3/02/2009,3450.300049,3516.399902,3448.199951,3449.100098,1058865400,3449.100098
4/02/2009,3444.5,3454.300049,3374.800049,3382.300049,1008116400,3382.300049
5/02/2009,3400.600098,3403.600098,3361.600098,3372.600098,974966000,3372.600098
6/02/2009,3383.399902,3432.300049,3383.300049,3407.5,858786300,3407.5
9/02/2009,3431.899902,3463,3429.699951,3445.800049,851453800,3445.800049
10/02/2009,3452.199951,3459.300049,3404.899902,3428.600098,824959100,3428.600098
11/02/2009,3402.5,3418.100098,3354.600098,3418.100098,756126000,3418.100098
12/02/2009,3419.300049,3493.300049,3418,3458.5,951043800,3458.5
13/02/2009,3453.100098,3497.800049,3451.199951,3496.699951,836160700,3496.699951
16/02/2009,3488.199951,3488.199951,3446.100098,3461.300049,641253700,3461.300049
17/02/2009,3453.899902,3481.899902,3398.300049,3412.199951,1084115700,3412.199951
18/02/2009,3387.199951,3389,3323.5,3366.899902,1142128800,3366.899902
19/02/2009,3367,3423.199951,3345.899902,3398,1070836900,3398
20/02/2009,3398.300049,3399.199951,3334.399902,3353,861029500,3353
23/02/2009,3339.800049,3339.800049,3269.399902,3304.100098,909920000,3304.100098
24/02/2009,3288,3290.800049,3255,3285,945366500,3285
25/02/2009,3305.600098,3332.399902,3271.399902,3281.5,1083960100,3281.5
26/02/2009,3281.699951,3316.399902,3275.899902,3297.399902,1040568600,3297.399902
27/02/2009,3296.300049,3313.600098,3264.199951,3296.899902,1472134100,3296.899902
2/03/2009,3283.399902,3284.399902,3190.699951,3203.800049,1006180200,3203.800049
3/03/2009,3204.199951,3204.199951,3112.600098,3171.399902,1107290400,3171.399902
4/03/2009,3161.399902,3164.199951,3102,3125.899902,992971900,3125.899902
5/03/2009,3154.399902,3177.100098,3141.399902,3148.800049,1151761900,3148.800049
6/03/2009,3132.199951,3133.100098,3091.600098,3111.699951,971305000,3111.699951
9/03/2009,3128.399902,3142.899902,3104.199951,3121.699951,729280000,3121.699951
10/03/2009,3116,3143.199951,3090.800049,3143.199951,953463900,3143.199951
11/03/2009,3171.399902,3217.399902,3170.800049,3199.100098,1286824000,3199.100098
12/03/2009,3207.5,3225.100098,3181.100098,3190.399902,913094500,3190.399902
13/03/2009,3207.5,3302.100098,3206.899902,3294.699951,1410720800,3294.699951
16/03/2009,3295.699951,3321.899902,3289.300049,3297.300049,1587250500,3297.300049
17/03/2009,3300.100098,3393.399902,3299.300049,3393.399902,1349705100,3393.399902
18/03/2009,3395.600098,3425.800049,3376.199951,3386.199951,1624000300,3386.199951
19/03/2009,3394,3435.699951,3393.899902,3416.800049,2260150800,3416.800049
20/03/2009,3432.5,3432.600098,3404.699951,3405,1706623200,3405
23/03/2009,3408.100098,3483.100098,3397,3483.100098,1166156000,3483.100098
24/03/2009,3508.199951,3574.800049,3508.199951,3517.300049,1383736800,3517.300049
25/03/2009,3517.300049,3560.600098,3499,3546.199951,1172558100,3546.199951
26/03/2009,3548.100098,3602.600098,3541.100098,3586.300049,1306194500,3586.300049
27/03/2009,3595.300049,3645.800049,3595.300049,3615.600098,1376619400,3615.600098
30/03/2009,3603.399902,3604.100098,3544.300049,3554.199951,887484500,3554.199951
31/03/2009,3539.100098,3566.899902,3519.600098,3532.300049,1290952100,3532.300049
1/04/2009,3533.5,3546.699951,3503.800049,3527.199951,1164738200,3527.199951
2/04/2009,3539.5,3640.899902,3539.199951,3622.199951,1471350800,3622.199951
3/04/2009,3643.399902,3688.199951,3643.399902,3674,1568484200,3674
6/04/2009,3673,3700.699951,3672.699951,3696.399902,1330231600,3696.399902
7/04/2009,3684.800049,3685,3646.300049,3648.5,1359552400,3648.5
8/04/2009,3635.5,3635.5,3560.199951,3567.5,1063288600,3567.5
9/04/2009,3574.100098,3619.5,3573.600098,3617.5,898159600,3617.5
14/04/2009,3639.800049,3718.300049,3639.399902,3697.899902,1129720200,3697.899902
15/04/2009,3691.699951,3707.600098,3682.300049,3693.899902,1129808700,3693.899902
16/04/2009,3699.100098,3750.5,3698.800049,3725.600098,1230515900,3725.600098
17/04/2009,3734.600098,3795.899902,3728.100098,3728.100098,1384327200,3728.100098
20/04/2009,3729.100098,3739.300049,3687.300049,3722.600098,1115190300,3722.600098
21/04/2009,3695.899902,3695.899902,3618.5,3633.100098,1054744500,3633.100098
22/04/2009,3643.399902,3657.600098,3620.600098,3627.199951,1115905000,3627.199951
23/04/2009,3634.5,3696.899902,3632.699951,3695.800049,1179634200,3695.800049
24/04/2009,3697,3706.699951,3645.300049,3668.199951,1184644700,3668.199951
27/04/2009,3679.699951,3735,3643.399902,3690,957587200,3690
28/04/2009,3687.300049,3734,3664.199951,3671.699951,1075239300,3671.699951
29/04/2009,3660,3686.800049,3646.5,3661.899902,1183128700,3661.899902
30/04/2009,3662,3760.800049,3661.899902,3744.699951,1378827000,3744.699951
1/05/2009,3736.899902,3747.899902,3721,3737.899902,995318300,3737.899902
4/05/2009,3748.199951,3846,3748.199951,3846,1229040200,3846
5/05/2009,3863,3907.300049,3849.300049,3862.199951,1633134000,3862.199951
6/05/2009,3862.199951,3878.199951,3826.100098,3840.100098,1615390300,3840.100098
7/05/2009,3861.199951,3925.5,3860.800049,3912.100098,1959168400,3912.100098
8/05/2009,3895,3920.5,3884.199951,3919.600098,1349375200,3919.600098
11/05/2009,3921.399902,3941.699951,3887.399902,3910.5,1972241200,3910.5
12/05/2009,3900.5,3900.5,3843.699951,3863.600098,1359239600,3863.600098
13/05/2009,3864.100098,3879.5,3827.199951,3842.5,1402274600,3842.5
14/05/2009,3813.899902,3814.199951,3709.5,3710.800049,1455178000,3710.800049
15/05/2009,3727.600098,3775.699951,3726.899902,3758.899902,1289304900,3758.899902
18/05/2009,3750.5,3750.5,3703.699951,3721.600098,1024138600,3721.600098
19/05/2009,3742.399902,3804.300049,3741.899902,3800.600098,1357188800,3800.600098
20/05/2009,3808.199951,3814.600098,3778.699951,3808.899902,1205489900,3808.899902
21/05/2009,3808.600098,3816.899902,3782.5,3804.699951,1353585400,3804.699951
22/05/2009,3788.899902,3789.600098,3744.5,3755.399902,1234922500,3755.399902
25/05/2009,3757.300049,3778.300049,3719.800049,3735.300049,960594900,3735.300049
26/05/2009,3734.100098,3781.600098,3722.100098,3781.600098,1160078300,3781.600098
27/05/2009,3790.899902,3828.399902,3790.5,3795.300049,1586348600,3795.300049
28/05/2009,3779.5,3780,3736.699951,3753.899902,1332328700,3753.899902
29/05/2009,3754.199951,3817.199951,3753.899902,3813.300049,1930771800,3813.300049
1/06/2009,3813.199951,3887.899902,3807.699951,3887.899902,1511701700,3887.899902
2/06/2009,3903.100098,3957.399902,3903.100098,3948.100098,1864991000,3948.100098
3/06/2009,3947.699951,4009.399902,3943.300049,4009.300049,1845889200,4009.300049
4/06/2009,4009.300049,4009.300049,3925.600098,3932.5,1719375000,3932.5
5/06/2009,3932.5,4016.899902,3932.5,3969,1854857600,3969
9/06/2009,3959.300049,3992.600098,3933.600098,3933.600098,1646967600,3933.600098
10/06/2009,3947.800049,4016.300049,3947,4016.300049,1829197000,4016.300049
11/06/2009,4013.600098,4052.300049,4013.300049,4047.300049,1671134700,4047.300049
12/06/2009,4046.699951,4078.300049,4038.800049,4061.5,1898499000,4061.5
15/06/2009,4050.399902,4058.600098,4030.399902,4030.399902,1955604800,4030.399902
16/06/2009,4014.5,4015.899902,3950.300049,3957.899902,1478201700,3957.899902
17/06/2009,3941.899902,3942.100098,3875.699951,3904.199951,1656255800,3904.199951
18/06/2009,3897.399902,3914.899902,3868.800049,3887.399902,1712425200,3887.399902
19/06/2009,3894.199951,3927.399902,3893.199951,3894.399902,1663706900,3894.399902
22/06/2009,3902.100098,3924.899902,3891.100098,3910.800049,1252107400,3910.800049
23/06/2009,3884.199951,3884.199951,3786.899902,3793,1412880200,3793
24/06/2009,3797.399902,3807.300049,3766.600098,3802.199951,1237348900,3802.199951
25/06/2009,3809.100098,3852.899902,3808.800049,3851.5,1174549900,3851.5
26/06/2009,3858.600098,3909.899902,3858.600098,3899.5,1319376200,3899.5
29/06/2009,3896.300049,3921.699951,3879.5,3882.699951,1046754600,3882.699951
30/06/2009,3894.600098,3947.800049,3894.5,3947.800049,1459245600,3947.800049
1/07/2009,3934.399902,3934.399902,3858.100098,3872.300049,1134162200,3872.300049
2/07/2009,3883.899902,3907.699951,3870.699951,3875.199951,1243860100,3875.199951
3/07/2009,3858.899902,3858.899902,3803.699951,3826.600098,1067300000,3826.600098
6/07/2009,3820.199951,3820.5,3769,3784.199951,823449100,3784.199951
7/07/2009,3778.600098,3785.699951,3761.600098,3767.800049,911400600,3767.800049
8/07/2009,3752.800049,3766,3710.100098,3766,1256161400,3766
9/07/2009,3764.300049,3766.699951,3740.199951,3761.399902,1012106600,3761.399902
10/07/2009,3761.5,3792.800049,3761.399902,3790.600098,856646600,3790.600098
13/07/2009,3787.199951,3790.399902,3736.399902,3738,844521400,3738
14/07/2009,3756.199951,3858.800049,3756.199951,3858.800049,912726700,3858.800049
15/07/2009,3862.600098,3921.800049,3862.399902,3917.5,1110569700,3917.5
16/07/2009,3936.199951,4012,3935,3987.800049,1308624700,3987.800049
17/07/2009,3993.399902,4016.899902,3981.199951,3992.899902,977644900,3992.899902
20/07/2009,3998.199951,4058.699951,3998.199951,4044.199951,976237100,4044.199951
21/07/2009,4052.800049,4079.399902,4042.100098,4048.300049,1138902200,4048.300049
22/07/2009,4052.300049,4073.5,4046.5,4068.899902,1322440500,4068.899902
23/07/2009,4061,4076.699951,4053.300049,4072.600098,1468234500,4072.600098
24/07/2009,4088.199951,4130.399902,4088.199951,4097.299805,1475852800,4097.299805
27/07/2009,4104.899902,4160.899902,4104.899902,4147.799805,1234428100,4147.799805
28/07/2009,4148.700195,4181.899902,4148.600098,4174,1416741600,4174
29/07/2009,4162.600098,4183.100098,4147.5,4148.899902,1568058500,4148.899902
30/07/2009,4144.600098,4206.299805,4142.200195,4195.899902,1514616300,4195.899902
31/07/2009,4215.700195,4251.799805,4214.399902,4249.5,1932795200,4249.5
3/08/2009,4251.5,4287.899902,4250.200195,4270.5,1240119700,4270.5
4/08/2009,4294.899902,4345.5,4294.899902,4313.899902,2199561000,4313.899902
5/08/2009,4324.600098,4325.200195,4272.200195,4272.200195,5636657200,4272.200195
6/08/2009,4278.5,4331,4278,4331,1582022800,4331
7/08/2009,4321.600098,4321.600098,4281.5,4303.100098,1285797800,4303.100098
10/08/2009,4314.399902,4352.100098,4305.100098,4309.200195,1791228000,4309.200195
