SETTLEMENTDATE,TOTALDEMAND,RRP
2019-03-19,7859.673958333332,95.72354166666666
2019-03-20,7995.356875,92.79541666666665
2019-03-21,8027.051041666666,110.95020833333332
2019-03-22,7893.936458333334,104.89416666666665
2019-03-23,7314.950833333333,93.23270833333333
2019-03-24,7535.059166666666,97.77604166666667
2019-03-25,7889.1991666666645,85.34708333333332
2019-03-26,7576.488541666665,88.403125
2019-03-27,7631.836249999999,91.05375000000002
2019-03-28,7815.876041666667,86.68833333333335
2019-03-29,7865.0512499999995,81.42854166666666
2019-03-30,7067.4270833333385,79.51416666666664
2019-03-31,6548.9229166666655,71.27291666666665
2019-04-01,7460.9122916666665,105.30562500000002
2019-04-02,7646.282083333334,94.74208333333335
2019-04-03,7634.001874999998,80.76395833333333
2019-04-04,7745.59125,85.54229166666666
2019-04-05,7691.221250000001,83.48083333333334
2019-04-06,7097.650833333334,81.14520833333334
2019-04-07,7009.171249999999,73.77458333333334
2019-04-08,7857.717916666667,98.45104166666668
2019-04-09,7697.12125,82.93833333333332
2019-04-10,7557.2872916666665,73.28104166666667
2019-04-11,7674.060833333336,74.871875
2019-04-12,7615.671875000001,102.32895833333332
2019-04-13,7027.581249999999,86.43958333333335
2019-04-14,6823.5720833333335,87.63062500000001
2019-04-15,7386.136041666664,100.79312499999999
2019-04-16,7551.897708333335,93.27854166666668
2019-04-17,7642.924583333334,92.90520833333333
2019-04-18,7592.679375000003,82.38999999999997
2019-04-19,6801.21375,67.57979166666668
2019-04-20,6804.401666666666,62.776250000000005
2019-04-21,6655.321458333331,62.01979166666667
2019-04-22,6850.976874999999,66.35083333333334
2019-04-23,7486.811874999999,74.81458333333332
2019-04-24,7440.752500000001,65.39687499999998
2019-04-25,6854.569791666668,56.77979166666666
2019-04-26,7183.248749999998,53.51208333333333
2019-04-27,6895.107916666667,59.993541666666665
2019-04-28,6810.179999999999,61.75875
2019-04-29,7647.068958333334,67.57791666666667
2019-04-30,7727.142291666664,75.725
2019-05-01,7813.0893750000005,76.05729166666666
2019-05-02,7849.493333333336,81.89833333333335
2019-05-03,7816.763750000003,78.14666666666666
